"Start time","End time","Rental place","Return place","PAÍS"
"10/1/2023 17:48","10/1/2023 17:57","Base Naval","Plaza O'Shanahan","Austria"
"10/1/2023 18:00","10/1/2023 18:16","Mercado Central","Piscina Julio Navarro","Austria"
"10/1/2023 19:05","10/1/2023 19:25","Plaza de la feria ","C.C. El Muelle","Italia"
"10/1/2023 19:10","10/1/2023 19:21","Castillo de la Luz","Parque Santa Catalina","Italia"
"10/1/2023 19:10","10/1/2023 19:21","Castillo de la Luz","Parque Santa Catalina","Italia"
"10/1/2023 19:22","10/1/2023 19:25","Las Canteras - Luis Morote","Las Canteras - Luis Morote","Rep. Checa"
"10/1/2023 19:25","10/1/2023 19:36","Las Canteras - Luis Morote","Plaza Manuel Becerra","Rep. Checa"
"10/1/2023 19:28","10/1/2023 22:52","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/1/2023 19:51","10/1/2023 20:09","Mercado Central","Parque Santa Catalina","Finlandia"
"10/1/2023 19:56","10/1/2023 20:02","Plaza del Pilar","Intermodal El Rincón","Alemania"
"10/1/2023 20:43","10/1/2023 20:59","Plaza de España","Plaza de la feria ","Italia"
"10/1/2023 21:13","10/1/2023 21:19","Churruca","Plaza de España","Países Bajos"
"10/1/2023 22:32","10/1/2023 22:42","Parque Santa Catalina","Castillo de la Luz","Italia"
"10/1/2023 22:33","10/1/2023 22:42","Parque Santa Catalina","Castillo de la Luz","Italia"
"10/2/2023 7:15","10/2/2023 7:34","Teatro Pérez Galdós","Torre Woermann","Alemania"
"10/2/2023 7:21","10/2/2023 7:31","Base Naval","Oficina de la Sitycleta","Alemania"
"10/2/2023 7:37","10/2/2023 7:41","Churruca","Plaza del Pilar","Reino Unido"
"10/2/2023 7:41","10/2/2023 8:34","Plaza del Pilar","Churruca","Reino Unido"
"10/2/2023 8:24","10/2/2023 8:35","San Bernardo","Barranquillo Don Zoilo","Italia"
"10/2/2023 8:35","10/2/2023 8:48","Plaza de España","Plaza de la feria ","Países Bajos"
"10/2/2023 8:36","10/2/2023 8:46","Barranquillo Don Zoilo","Plazoleta de Farray","Italia"
"10/2/2023 8:39","10/2/2023 13:17","Torre Woermann","Torre Woermann","Alemania"
"10/2/2023 9:02","10/2/2023 9:07","Mercado Central","Mercado Central","Países Bajos"
"10/2/2023 9:17","10/2/2023 9:39","Torre Woermann","Teatro Pérez Galdós","Alemania"
"10/2/2023 9:31","10/2/2023 9:40","Base Naval","Plaza del Pilar","Alemania"
"10/2/2023 9:43","10/2/2023 10:09","Castillo de la Luz","Obelisco","Reino Unido"
"10/2/2023 10:08","10/2/2023 10:22","Plazoleta de Farray","Oficina Sagulpa","Francia"
"10/2/2023 10:08","10/2/2023 10:19","Paseo de Chil - Av. Escaleritas","San Telmo","USA / Canada"
"10/2/2023 10:40","10/2/2023 10:45","Plazoleta de Farray","Mercado Central","Francia"
"10/2/2023 10:43","10/2/2023 10:52","Oficina de la Sitycleta","C.C. El Muelle","Francia"
"10/2/2023 10:59","10/2/2023 11:04","Mercado Central","Plazoleta de Farray","Francia"
"10/2/2023 11:23","10/2/2023 11:37","Plaza de España (elect.)","Castillo de Mata (elect.)","Italia"
"10/2/2023 11:35","10/2/2023 12:01","Castillo de la Luz","Churruca","Alemania"
"10/2/2023 11:48","10/2/2023 11:59","Plaza del Pilar","Plazoleta de Farray","Alemania"
"10/2/2023 11:49","10/2/2023 11:59","Plaza del Pilar","Plazoleta de Farray","Austria"
"10/2/2023 11:52","10/2/2023 11:59","Plaza del Pilar","Plazoleta de Farray","Austria"
"10/2/2023 12:00","10/2/2023 14:06","Castillo de la Luz","Parque Santa Catalina","Italia"
"10/2/2023 12:03","10/2/2023 12:19","Torre Las Palmas","Castillo de la Luz","Suecia"
"10/2/2023 12:05","10/2/2023 12:19","Torre Las Palmas","Castillo de la Luz","Suecia"
"10/2/2023 12:12","10/2/2023 12:20","Las Canteras - Luis Morote","Plaza del Pilar","Alemania"
"10/2/2023 12:33","10/2/2023 12:56","Plazoleta de Farray","Plaza de la feria ","Francia"
"10/2/2023 12:35","10/2/2023 12:43","Plaza de España (elect.)","Oficina Sítycleta (elect.)","Alemania"
"10/2/2023 12:37","10/2/2023 12:40","Churruca","Plaza del Pilar","Alemania"
"10/2/2023 12:41","10/2/2023 13:02","San Bernardo","Las Canteras - Luis Morote","Reino Unido"
"10/2/2023 13:06","10/2/2023 14:07","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/2/2023 13:11","10/2/2023 13:16","Las Canteras - Luis Morote","Torre Woermann","Países Bajos"
"10/2/2023 13:11","10/2/2023 13:24","Plazoleta de Farray","Ayuntamiento","Países Bajos"
"10/2/2023 13:13","10/2/2023 14:15","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/2/2023 13:52","10/2/2023 15:24","Base Naval","Churruca","Italia"
"10/2/2023 13:54","10/2/2023 14:03","Oficina Sítycleta (elect.)","Plaza de España (elect.)","Alemania"
"10/2/2023 13:55","10/2/2023 14:19","Parque Santa Catalina","San Bernardo","Reino Unido"
"10/2/2023 14:07","10/2/2023 14:14","Parque Santa Catalina","Castillo de la Luz","Italia"
"10/2/2023 14:18","10/2/2023 14:26","Mercado Central","León y Castillo","Reino Unido"
"10/2/2023 14:20","10/2/2023 14:48","Muelle Deportivo","Parque Santa Catalina","Hungría"
"10/2/2023 14:21","10/2/2023 14:32","Plaza del Pilar","Torre Woermann","Bélgica"
"10/2/2023 14:22","10/2/2023 15:31","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/2/2023 14:49","10/2/2023 16:26","Plaza del Pilar","Base Naval","Alemania"
"10/2/2023 14:51","10/2/2023 15:17","Churruca","Castillo de la Luz","Alemania"
"10/2/2023 14:59","10/2/2023 15:07","Plazoleta de Farray","Plazoleta de Farray","Noruega"
"10/2/2023 15:17","10/2/2023 15:33","Plaza de la feria ","Base Naval","Italia"
"10/2/2023 15:31","10/2/2023 21:27","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/2/2023 15:35","10/2/2023 15:46","Castillo de Mata (elect.)","Plaza de España (elect.)","Países Bajos"
"10/2/2023 15:41","10/2/2023 15:56","Mercado Central","Obelisco","Italia"
"10/2/2023 15:44","10/2/2023 15:54","Oficina Sítycleta (elect.)","Plaza de España (elect.)","Países Bajos"
"10/2/2023 15:46","10/2/2023 15:50","Plaza O'Shanahan","Ayuntamiento","Reino Unido"
"10/2/2023 15:59","10/2/2023 16:05","Las Canteras - Luis Morote","Churruca","Dinamarca"
"10/2/2023 16:22","10/2/2023 16:37","Plaza O'Shanahan","Plaza del Pilar","Austria"
"10/2/2023 16:42","10/2/2023 17:15","Ciudad Deportiva","C.C. El Muelle","Alemania"
"10/2/2023 16:43","10/2/2023 17:15","Ciudad Deportiva","C.C. El Muelle","Austria"
"10/2/2023 16:46","10/2/2023 17:03","Las Canteras - Luis Morote","IES Mesa y López","Irlanda"
"10/2/2023 16:51","10/2/2023 16:54","Churruca","Plazoleta de Farray","Francia"
"10/2/2023 16:55","10/2/2023 17:14","Castillo de la Luz","Torre Las Palmas","Suecia"
"10/2/2023 16:55","10/2/2023 17:06","Castillo de la Luz","Torre Las Palmas","Suecia"
"10/2/2023 17:18","10/2/2023 17:29","Churruca","Plaza del Pilar","Alemania"
"10/2/2023 17:19","10/2/2023 17:29","C.C. El Muelle","Plaza del Pilar","Bélgica"
"10/2/2023 17:22","10/2/2023 17:35","Plazoleta de Farray","Intermodal El Rincón","Polonia"
"10/2/2023 17:22","10/2/2023 17:35","Plazoleta de Farray","Intermodal El Rincón","Polonia"
"10/2/2023 17:24","10/2/2023 17:39","Castillo de la Luz","Churruca","Italia"
"10/2/2023 17:27","10/2/2023 17:55","Obelisco","Parque Santa Catalina","Reino Unido"
"10/2/2023 17:46","10/2/2023 17:55","Base Naval","Castillo de la Luz","Alemania"
"10/2/2023 17:51","10/2/2023 17:58","Churruca","Las Canteras - Luis Morote","Dinamarca"
"10/2/2023 18:01","10/2/2023 18:08","Mercado Central","Churruca","Países Bajos"
"10/2/2023 18:01","10/2/2023 18:19","Parque Santa Catalina","C.C. El Muelle","Finlandia"
"10/2/2023 18:03","10/2/2023 18:08","Plazoleta de Farray","Plaza del Pilar","Alemania"
"10/2/2023 18:07","10/2/2023 18:22","Plaza Manuel Becerra","Plaza Manuel Becerra","Rep. Checa"
"10/2/2023 18:13","10/2/2023 18:27","Plaza de América","Las Canteras - Luis Morote","Irlanda"
"10/2/2023 18:14","10/2/2023 18:32","Obelisco","Mercado Central","Italia"
"10/2/2023 18:18","10/2/2023 18:45","Parque Santa Catalina","Muelle Deportivo","Polonia"
"10/2/2023 18:22","10/2/2023 22:45","Plaza Manuel Becerra","San Telmo","Rep. Checa"
"10/2/2023 18:24","10/2/2023 18:45","Parque Santa Catalina","Muelle Deportivo","Polonia"
"10/2/2023 18:27","10/2/2023 18:46","Plaza del Pilar","León y Castillo","Austria"
"10/2/2023 18:41","10/2/2023 22:13","Plaza del Pilar","Torre Woermann","Francia"
"10/2/2023 18:42","10/2/2023 18:47","Churruca","Plazoleta de Farray","Polonia"
"10/2/2023 18:43","10/2/2023 19:39","C.C. El Muelle","Parque Santa Catalina","Noruega"
"10/2/2023 18:43","10/2/2023 19:39","C.C. El Muelle","Parque Santa Catalina","Noruega"
"10/2/2023 19:02","10/2/2023 19:08","Hotel Santa Catalina","Hotel Santa Catalina","Alemania"
"10/2/2023 19:15","10/2/2023 19:21","Plazoleta de Farray","Plaza del Pilar","Polonia"
"10/2/2023 19:23","10/2/2023 19:44","León y Castillo","Churruca","Países Bajos"
"10/2/2023 19:25","10/2/2023 19:32","Plazoleta de Farray","Churruca","Eslovenia"
"10/2/2023 19:29","10/2/2023 20:15","Plazoleta de Farray","Plazoleta de Farray","Irlanda"
"10/2/2023 19:36","10/2/2023 19:46","Plaza del Pilar","Base Naval","Alemania"
"10/2/2023 19:49","10/2/2023 19:52","Churruca","Plazoleta de Farray","Alemania"
"10/2/2023 20:01","10/2/2023 20:08","Base Naval","Las Canteras - Luis Morote","Alemania"
"10/2/2023 20:01","10/2/2023 20:20","Base Naval","Las Canteras - Luis Morote","Alemania"
"10/2/2023 20:07","10/2/2023 20:13","Churruca","Las Canteras - Luis Morote","Países Bajos"
"10/2/2023 20:12","10/2/2023 20:31","San Bernardo","C.C. El Muelle","USA / Canada"
"10/2/2023 20:14","10/2/2023 20:24","Parque Santa Catalina","Plaza del Pilar","Reino Unido"
"10/2/2023 20:59","10/2/2023 21:28","Obelisco","Plazoleta de Farray","Austria"
"10/2/2023 21:00","10/2/2023 21:31","Obelisco","Plazoleta de Farray","Alemania"
"10/2/2023 21:03","10/2/2023 21:07","Plazoleta de Farray","Parque Santa Catalina","Francia"
"10/2/2023 21:03","10/2/2023 21:32","Obelisco","Plaza del Pilar","Alemania"
"10/2/2023 21:21","10/2/2023 21:31","Plaza del Pilar","Parque Santa Catalina","Reino Unido"
"10/2/2023 21:26","10/2/2023 21:31","Churruca","Plazoleta de Farray","Eslovenia"
"10/2/2023 21:34","10/2/2023 21:42","Plaza del Pilar","Plazoleta de Farray","Polonia"
"10/2/2023 21:36","10/2/2023 21:53","Muelle Deportivo","Muelle Deportivo","Hungría"
"10/2/2023 21:46","10/2/2023 22:19","Teatro Pérez Galdós","C.C. El Muelle","Polonia"
"10/2/2023 21:46","10/2/2023 22:14","Teatro Pérez Galdós","C.C. El Muelle","Polonia"
"10/2/2023 21:48","10/2/2023 21:55","Parque Santa Catalina","Churruca","Francia"
"10/2/2023 22:05","10/2/2023 22:12","Las Canteras - Luis Morote","Churruca","Países Bajos"
"10/2/2023 22:15","10/2/2023 22:48","Oficina de la Sitycleta","Oficina de la Sitycleta","Reino Unido"
"10/2/2023 22:18","10/2/2023 22:39","C.C. La Ballena","Oficina Sítycleta (elect.)","Austria"
"10/2/2023 22:18","10/2/2023 22:38","C.C. La Ballena","Oficina Sítycleta (elect.)","Austria"
"10/2/2023 22:48","10/2/2023 23:11","Oficina Sítycleta","San Bernardo","Reino Unido"
"10/3/2023 7:04","10/3/2023 7:24","Castillo de la Luz","Plaza del Pilar","Alemania"
"10/3/2023 7:24","10/3/2023 7:51","Plaza del Pilar","Obelisco","Alemania"
"10/3/2023 7:29","10/3/2023 7:38","Base Naval","Ayuntamiento","Alemania"
"10/3/2023 7:29","10/3/2023 7:39","Base Naval","Ayuntamiento","Alemania"
"10/3/2023 7:36","10/3/2023 7:42","Plaza de España","Parque Santa Catalina","Alemania"
"10/3/2023 7:37","10/3/2023 7:45","Churruca","Intermodal El Rincón","Reino Unido"
"10/3/2023 7:42","10/3/2023 8:13","Castillo de la Luz","Obelisco","Reino Unido"
"10/3/2023 8:23","10/3/2023 8:33","Ayuntamiento","Plaza de la feria ","Alemania"
"10/3/2023 8:23","10/3/2023 8:30","Ayuntamiento","Base Naval","Alemania"
"10/3/2023 8:33","10/3/2023 8:51","Churruca","Plaza de la feria ","Países Bajos"
"10/3/2023 8:44","10/3/2023 8:54","Plazoleta de Farray","Plaza del Pilar","Países Bajos"
"10/3/2023 9:03","10/3/2023 9:18","Mercado Central","Teatro Pérez Galdós","Países Bajos"
"10/3/2023 9:09","10/3/2023 9:18","Base Naval","Plaza del Pilar","Alemania"
"10/3/2023 9:10","10/3/2023 9:26","Plaza Manuel Becerra","Torre Las Palmas","Italia"
"10/3/2023 10:10","10/3/2023 10:34","Obelisco","Las Canteras - Luis Morote","Reino Unido"
"10/3/2023 10:12","10/3/2023 10:22","Paseo de Chil - Av. Escaleritas","San Telmo","USA / Canada"
"10/3/2023 10:13","10/3/2023 10:21","C.C. El Muelle","Oficina Sagulpa","Francia"
"10/3/2023 10:15","10/3/2023 10:32","Plaza de la feria ","Base Naval","Alemania"
"10/3/2023 10:30","10/3/2023 13:04","Parque Santa Catalina","Parque Santa Catalina","Francia"
"10/3/2023 10:32","10/3/2023 11:09","Parque Santa Catalina","Las Canteras - Luis Morote","Finlandia"
"10/3/2023 10:37","10/3/2023 11:02","San Telmo","Parque Santa Catalina","Italia"
"10/3/2023 10:44","10/3/2023 10:54","Oficina Sagulpa","C.C. El Muelle","Francia"
"10/3/2023 11:03","10/3/2023 11:08","Plazoleta de Farray","Plaza del Pilar","Alemania"
"10/3/2023 11:08","10/3/2023 11:26","Torre Las Palmas","Plaza Manuel Becerra","Italia"
"10/3/2023 11:54","10/3/2023 12:19","Obelisco","Plaza del Pilar","Alemania"
"10/3/2023 11:55","10/3/2023 12:50","San Telmo","Mercado Central","Finlandia"
"10/3/2023 12:04","10/3/2023 12:07","ULPGC - Ingeniería","ULPGC - Biblioteca General","Alemania"
"10/3/2023 12:14","10/3/2023 12:35","San Bernardo","Las Canteras - Luis Morote","Reino Unido"
"10/3/2023 12:19","10/3/2023 12:25","Plaza del Pilar","Plazoleta de Farray","Alemania"
"10/3/2023 12:42","10/3/2023 13:00","Mercado Central","San Telmo","Francia"
"10/3/2023 12:50","10/3/2023 12:57","Castillo de la Luz","Parque Santa Catalina","Italia"
"10/3/2023 13:08","10/3/2023 13:21","Plaza del Pilar","Plaza del Pilar","Alemania"
"10/3/2023 13:21","10/3/2023 13:40","Plaza del Pilar","León y Castillo","Polonia"
"10/3/2023 13:38","10/3/2023 14:02","Plazoleta de Farray","León y Castillo","Italia"
"10/3/2023 13:47","10/3/2023 14:12","Las Canteras - Luis Morote","San Bernardo","Reino Unido"
"10/3/2023 13:52","10/3/2023 17:03","Plaza de España","Plaza de España (elect.)","Rep. Checa"
"10/3/2023 13:53","10/3/2023 14:17","Parque Santa Catalina","San Telmo","Italia"
"10/3/2023 13:58","10/3/2023 17:05","Plaza de España","Plaza de España (elect.)","Rep. Checa"
"10/3/2023 14:07","10/3/2023 14:16","ULPGC - Biblioteca General","ULPGC - Ingeniería","Alemania"
"10/3/2023 14:24","10/3/2023 14:42","Castillo de Mata","Plaza de España","Francia"
"10/3/2023 14:38","10/3/2023 14:44","Parque Santa Catalina","Castillo de la Luz","Italia"
"10/3/2023 14:41","10/3/2023 14:49","Las Canteras - Luis Morote","Plaza del Pilar","Alemania"
"10/3/2023 14:51","10/3/2023 15:02","Churruca","Torre Woermann","Bélgica"
"10/3/2023 14:53","10/3/2023 15:04","Las Canteras - Luis Morote","Base Naval","Finlandia"
"10/3/2023 15:22","10/3/2023 15:26","Base Naval","C.C. El Muelle","Finlandia"
"10/3/2023 15:27","10/3/2023 15:38","Plazoleta de Farray","Plazoleta de Farray","Polonia"
"10/3/2023 15:30","10/3/2023 15:47","Plaza de España","Obelisco","Alemania"
"10/3/2023 15:30","10/3/2023 15:47","Plaza de España","Obelisco","Alemania"
"10/3/2023 15:49","10/3/2023 15:59","Churruca","Churruca","Alemania"
"10/3/2023 16:32","10/3/2023 16:46","Oficina Sítycleta (elect.)","Plaza de España (elect.)","Austria"
"10/3/2023 16:36","10/3/2023 16:44","Plazoleta de Farray","Churruca","Alemania"
"10/3/2023 16:39","10/3/2023 16:50","Torre Las Palmas","Parque Santa Catalina","Austria"
"10/3/2023 17:08","10/3/2023 17:30","Churruca","Barranquillo Don Zoilo","Italia"
"10/3/2023 17:13","10/3/2023 17:16","Plazoleta de Farray","Churruca","Alemania"
"10/3/2023 17:28","10/3/2023 17:46","Obelisco","Mercado Central","Italia"
"10/3/2023 17:42","10/3/2023 17:51","Churruca","Parque Santa Catalina","Francia"
"10/3/2023 17:50","10/3/2023 17:54","Plazoleta de Farray","Churruca","Eslovenia"
"10/3/2023 18:03","10/3/2023 18:07","Plazoleta de Farray","Plazoleta de Farray","Polonia"
"10/3/2023 18:07","10/3/2023 18:15","Plazoleta de Farray","Plaza del Pilar","Polonia"
"10/3/2023 18:21","10/3/2023 18:33","Plaza O'Shanahan","Plaza O'Shanahan","Italia"
"10/3/2023 18:24","10/3/2023 18:48","Plaza del Pilar","Plaza del Pilar","Alemania"
"10/3/2023 18:29","10/3/2023 18:49","Plaza de la feria ","Churruca","Países Bajos"
"10/3/2023 18:33","10/3/2023 18:58","Obelisco","Plaza del Pilar","Polonia"
"10/3/2023 18:41","10/3/2023 18:48","Las Canteras - Luis Morote","Base Naval","Países Bajos"
"10/3/2023 18:45","10/3/2023 19:15","Plazoleta de Farray","Plazoleta de Farray","Irlanda"
"10/3/2023 18:49","10/3/2023 18:50","Castillo de la Luz","Castillo de la Luz","Reino Unido"
"10/3/2023 18:51","10/3/2023 19:16","Castillo de la Luz","Obelisco","Reino Unido"
"10/3/2023 18:52","10/3/2023 18:57","Churruca","Plazoleta de Farray","Alemania"
"10/3/2023 18:52","10/3/2023 18:57","Churruca","Plazoleta de Farray","Alemania"
"10/3/2023 18:55","10/3/2023 19:04","Las Canteras - Luis Morote","Plaza de España","Austria"
"10/3/2023 18:55","10/3/2023 19:14","Las Canteras - Luis Morote","Oficina de la Sitycleta","Austria"
"10/3/2023 18:58","10/3/2023 19:54","Piscina Julio Navarro","Churruca","Italia"
"10/3/2023 19:02","10/3/2023 19:11","Las Canteras - Luis Morote","Churruca","Austria"
"10/3/2023 19:02","10/3/2023 19:11","Las Canteras - Luis Morote","Churruca","Austria"
"10/3/2023 19:03","10/3/2023 19:22","Plaza de España","Castillo de Mata (elect.)","Alemania"
"10/3/2023 19:04","10/3/2023 19:11","Churruca","Plaza del Pilar","Alemania"
"10/3/2023 19:09","10/3/2023 19:12","Plazoleta de Farray","Churruca","Francia"
"10/3/2023 19:32","10/3/2023 19:37","Churruca","Plaza del Pilar","Reino Unido"
"10/3/2023 19:33","10/3/2023 19:39","Churruca","Plazoleta de Farray","Eslovenia"
"10/3/2023 19:33","10/3/2023 19:44","Plaza de España","Oficina Sítycleta (elect.)","Austria"
"10/3/2023 19:45","10/3/2023 19:58","San Bernardo","Oficina de la Sitycleta","Reino Unido"
"10/3/2023 19:53","10/3/2023 20:02","Plaza del Pilar","Base Naval","Alemania"
"10/3/2023 20:07","10/3/2023 20:14","Plaza del Pilar","Plazoleta de Farray","Polonia"
"10/3/2023 20:22","10/3/2023 20:31","Parque Santa Catalina","Churruca","Italia"
"10/3/2023 20:28","10/3/2023 20:41","Torre Las Palmas","Obelisco","Alemania"
"10/3/2023 20:42","10/3/2023 20:49","Churruca","Las Canteras - Luis Morote","Austria"
"10/3/2023 20:49","10/3/2023 20:55","Parque Santa Catalina","Plazoleta de Farray","Francia"
"10/3/2023 20:58","10/3/2023 21:22","Obelisco","Las Canteras - Luis Morote","Reino Unido"
"10/3/2023 20:59","10/3/2023 21:10","Torre Las Palmas","Plaza del Pilar","Suiza"
"10/3/2023 21:00","10/3/2023 21:10","Torre Las Palmas","Plaza del Pilar","Suiza"
"10/3/2023 21:08","10/3/2023 21:14","Churruca","Plazoleta de Farray","Francia"
"10/3/2023 21:24","10/3/2023 21:42","Parque del Estadio Insular","Parque Santa Catalina","Grecia"
"10/3/2023 21:51","10/3/2023 22:50","Oficina Sítycleta (elect.)","San Bernardo","Reino Unido"
"10/3/2023 22:04","10/3/2023 22:11","Plaza del Pilar","Plazoleta de Farray","Países Bajos"
"10/3/2023 22:04","10/3/2023 22:11","Plaza del Pilar","Plazoleta de Farray","Países Bajos"
"10/3/2023 22:53","10/3/2023 23:06","Churruca","Torre Woermann","Italia"
"10/4/2023 8:29","10/4/2023 8:43","Mercado Central","Obelisco","Italia"
"10/4/2023 8:36","10/4/2023 8:48","Castillo de Mata","Plaza de España (elect.)","Italia"
"10/4/2023 8:37","10/4/2023 8:39","Base Naval","Base Naval","Alemania"
"10/4/2023 8:38","10/4/2023 8:59","Churruca","San Telmo","Países Bajos"
"10/4/2023 8:39","10/4/2023 8:55","Base Naval","Plaza de la feria ","Alemania"
"10/4/2023 9:24","10/4/2023 9:39","Obelisco","Mercado Central","Italia"
"10/4/2023 9:25","10/4/2023 9:39","Cabildo de Gran Canaria","IES Mesa y López","Francia"
"10/4/2023 9:37","10/4/2023 10:03","Castillo de la Luz","Obelisco","Reino Unido"
"10/4/2023 9:54","10/4/2023 10:11","Plaza O'Shanahan","Plazoleta de Farray","Francia"
"10/4/2023 10:14","10/4/2023 10:21","Base Naval","Plaza del Pilar","Alemania"
"10/4/2023 10:22","10/4/2023 10:27","Castillo de la Luz","Parque Santa Catalina","Italia"
"10/4/2023 10:28","10/4/2023 10:37","Paseo de Chil - Av. Escaleritas","San Telmo","USA / Canada"
"10/4/2023 10:44","10/4/2023 10:59","Plaza de la feria ","Base Naval","Alemania"
"10/4/2023 10:55","10/4/2023 11:08","Plaza del Pilar","Torre Woermann","Bélgica"
"10/4/2023 11:05","10/4/2023 11:10","Mercado Central","Plazoleta de Farray","Italia"
"10/4/2023 11:08","10/4/2023 11:28","Las Canteras - Luis Morote","Churruca","Finlandia"
"10/4/2023 11:19","10/4/2023 11:31","Plaza de España","Castillo de Mata (elect.)","Italia"
"10/4/2023 11:27","10/4/2023 11:40","San Bernardo","Plaza de España (elect.)","Reino Unido"
"10/4/2023 11:41","10/4/2023 11:55","Churruca","Las Canteras - Luis Morote","Finlandia"
"10/4/2023 11:41","10/4/2023 11:47","Plaza de España","Las Canteras - Luis Morote","Reino Unido"
"10/4/2023 11:45","10/4/2023 11:52","Plaza del Pilar","Plazoleta de Farray","Alemania"
"10/4/2023 12:07","10/4/2023 12:13","Parque Santa Catalina","Castillo de la Luz","Italia"
"10/4/2023 12:14","10/4/2023 12:44","Obelisco","Las Canteras - Luis Morote","Reino Unido"
"10/4/2023 12:41","10/4/2023 12:55","Plaza de España","Plaza O'Shanahan","Francia"
"10/4/2023 12:49","10/4/2023 13:14","San Bernardo","Mercado Central","Bélgica"
"10/4/2023 13:13","10/4/2023 13:24","Teatro Pérez Galdós","San Telmo","Alemania"
"10/4/2023 13:29","10/4/2023 13:52","Las Canteras - Luis Morote","San Bernardo","Reino Unido"
"10/4/2023 13:37","10/4/2023 13:51","Mercado Central","San Bernardo","Bélgica"
"10/4/2023 13:47","10/4/2023 14:35","Plazoleta de Farray","Plazoleta de Farray","Italia"
"10/4/2023 13:47","10/4/2023 14:39","Plazoleta de Farray","Plazoleta de Farray","Italia"
"10/4/2023 13:51","10/4/2023 14:06","Paseo de Chil - Av. Escaleritas","San Telmo","Italia"
"10/4/2023 13:53","10/4/2023 14:07","IES Mesa y López","Cabildo de Gran Canaria","Francia"
"10/4/2023 14:00","10/4/2023 14:21","Plaza de la feria ","IES Mesa y López","Alemania"
"10/4/2023 14:38","10/4/2023 14:48","Mercado Central","León y Castillo","Reino Unido"
"10/4/2023 14:51","10/4/2023 15:12","Churruca","Castillo de la Luz","Alemania"
"10/4/2023 14:51","10/4/2023 15:11","Mercado Central","Obelisco","Italia"
"10/4/2023 15:39","10/4/2023 15:46","Parque del Estadio Insular","Piscina Julio Navarro","Dinamarca"
"10/4/2023 15:48","10/4/2023 16:09","León y Castillo","Torre Las Palmas","Reino Unido"
"10/4/2023 15:56","10/4/2023 19:51","Plaza del Pilar","Bicis para reparar","Suiza"
"10/4/2023 16:08","10/4/2023 16:15","Las Canteras - Luis Morote","Churruca","Irlanda"
"10/4/2023 16:16","10/4/2023 17:03","Castillo de la Luz","Parque del Estadio Insular","Portugal"
"10/4/2023 16:16","10/4/2023 17:00","Castillo de la Luz","Parque del Estadio Insular","Portugal"
"10/4/2023 16:24","10/4/2023 16:28","Gabinete Literario","San Telmo","Italia"
